"Time","P1"
2022-04-29 20:00:00,0.282
2022-04-29 21:00:00,0.270
2022-04-29 22:00:00,0.260
2022-04-29 23:00:00,0.219
2022-04-30 00:00:00,0.154
2022-04-30 01:00:00,0.106
2022-04-30 02:00:00,0.0785
2022-04-30 03:00:00,0.0613
2022-04-30 04:00:00,0.0587
2022-04-30 05:00:00,0.0545
2022-04-30 06:00:00,0.0633
2022-04-30 07:00:00,0.105
2022-04-30 08:00:00,0.146
2022-04-30 09:00:00,0.218
2022-04-30 10:00:00,0.254
2022-04-30 11:00:00,0.267
2022-04-30 12:00:00,0.249
2022-04-30 13:00:00,0.231
2022-04-30 14:00:00,0.226
2022-04-30 15:00:00,0.218
2022-04-30 16:00:00,0.201
2022-04-30 17:00:00,0.228
2022-04-30 18:00:00,0.209
2022-04-30 19:00:00,0.246
2022-04-30 20:00:00,0.276
2022-04-30 21:00:00,0.276
2022-04-30 22:00:00,0.238
2022-04-30 23:00:00,0.192
2022-05-01 00:00:00,0.154
2022-05-01 01:00:00,0.117
2022-05-01 02:00:00,0.0835
2022-05-01 03:00:00,0.0723
2022-05-01 04:00:00,0.0597
2022-05-01 05:00:00,0.0580
2022-05-01 06:00:00,0.0614
2022-05-01 07:00:00,0.0725
2022-05-01 08:00:00,0.122
2022-05-01 09:00:00,0.186
2022-05-01 10:00:00,0.230
2022-05-01 11:00:00,0.259
2022-05-01 12:00:00,0.250
2022-05-01 13:00:00,0.222
2022-05-01 14:00:00,0.207
2022-05-01 15:00:00,0.199
2022-05-01 16:00:00,0.195
2022-05-01 17:00:00,0.207
2022-05-01 18:00:00,0.246
2022-05-01 19:00:00,0.307
2022-05-01 20:00:00,0.362
2022-05-01 21:00:00,0.340
2022-05-01 22:00:00,0.254
2022-05-01 23:00:00,0.187
2022-05-02 00:00:00,0.114
2022-05-02 01:00:00,0.0757
2022-05-02 02:00:00,0.0616
2022-05-02 03:00:00,0.0545
2022-05-02 04:00:00,0.0552
2022-05-02 05:00:00,0.0540
2022-05-02 06:00:00,0.108
2022-05-02 07:00:00,0.192
2022-05-02 08:00:00,0.224
2022-05-02 09:00:00,0.189
2022-05-02 10:00:00,0.181
2022-05-02 11:00:00,0.184
2022-05-02 12:00:00,0.168
2022-05-02 13:00:00,0.156
2022-05-02 14:00:00,0.147
2022-05-02 15:00:00,0.157
2022-05-02 16:00:00,0.171
2022-05-02 17:00:00,0.208
2022-05-02 18:00:00,0.201
2022-05-02 19:00:00,0.254
2022-05-02 20:00:00,0.323
2022-05-02 21:00:00,0.306
2022-05-02 22:00:00,0.267
2022-05-02 23:00:00,0.185
2022-05-03 00:00:00,0.123
