"Time","Pump 1 current"
2022-04-17 12:00:00,8.25
2022-04-17 13:00:00,5.24
2022-04-17 14:00:00,8.94
2022-04-17 15:00:00,6.89
2022-04-17 16:00:00,6.77
2022-04-17 17:00:00,8.36
2022-04-17 18:00:00,5.99
2022-04-17 19:00:00,6.61
2022-04-17 20:00:00,5.77
2022-04-17 21:00:00,8.69
2022-04-17 22:00:00,12.8
2022-04-17 23:00:00,10.4
2022-04-18 00:00:00,11.5
2022-04-18 01:00:00,6.56
2022-04-18 02:00:00,5.86
2022-04-18 03:00:00,8.20
2022-04-18 04:00:00,6.27
2022-04-18 05:00:00,4.63
2022-04-18 06:00:00,5.22
2022-04-18 07:00:00,3.34
2022-04-18 08:00:00,7.70
2022-04-18 09:00:00,9.09
2022-04-18 10:00:00,10.7
2022-04-18 11:00:00,11.1
2022-04-18 12:00:00,8.59
2022-04-18 13:00:00,9.80
2022-04-18 14:00:00,6.46
2022-04-18 15:00:00,5.89
2022-04-18 16:00:00,8.81
2022-04-18 17:00:00,12.2
2022-04-18 18:00:00,10.8
2022-04-18 19:00:00,6.27
2022-04-18 20:00:00,9.08
2022-04-18 21:00:00,10.6
2022-04-18 22:00:00,11.0
2022-04-18 23:00:00,11.1
2022-04-19 00:00:00,7.59
2022-04-19 01:00:00,7.57
2022-04-19 02:00:00,10.2
2022-04-19 03:00:00,2.96
2022-04-19 04:00:00,4.03
2022-04-19 05:00:00,5.94
2022-04-19 06:00:00,6.49
2022-04-19 07:00:00,5.81
2022-04-19 08:00:00,6.64
2022-04-19 09:00:00,8.96
2022-04-19 10:00:00,6.64
2022-04-19 11:00:00,8.61
2022-04-19 12:00:00,5.27
2022-04-19 13:00:00,9.00
2022-04-19 14:00:00,6.30
2022-04-19 15:00:00,7.59
2022-04-19 16:00:00,8.28
2022-04-19 17:00:00,5.61
2022-04-19 18:00:00,5.06
2022-04-19 19:00:00,8.22
2022-04-19 20:00:00,8.32
2022-04-19 21:00:00,10.4
